VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
708, 39526, -7.0625, -11.11477,  0.27661, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
709, 39557, -7.52667, -11.30704,  0.40137, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
710, 39515, -6.93647, -11.44888,  0.27661, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
711, 39471, -6.36563, -12.70315,  0.27612, -2.85938,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.6875, -0.92383, -0.38232,  0.0057, -1.00
712, 39496, -6.68443, -12.1171,  0.27661, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
713, 39520, -6.9892, -12.6024,  0.40112, -2.80078,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.6875, -0.92383, -0.38232,  0.0057, -1.00
714, 39496, -6.68443, -12.1171,  0.27661, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
715, 39532, -7.1486, -12.30937,  0.40137, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
716, 39520, -6.9892, -12.6024,  0.40112, -2.80078,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.6875, -0.92383, -0.38232,  0.0057, -1.00
717, 39540, -7.27462, -11.97526,  0.40137, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
718, 39532, -7.1486, -12.30937,  0.40137, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
719, 39496, -6.68443, -12.1171,  0.27661, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
